Result Number,Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
952,LC08_L2SP_203025_20181001_20200830_02_T1,LC08_L1TP_203025_20181001_20200830_02_T1,LC82030252018274LGN00,2018/10/01,T1,2, 203, 025, 203, 025,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-01 11:04:37.715408,2018-10-01 11:05:09.485406,LGN,DAY,  33.65,  17.67,266,5,    6.935,    5.197,    4.592,LPGS_15.3.1c,35.03832377,162.31883289,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'51.10"N,3°13'47.03"W,51°20'26.45"N,4°56'27.92"W,51°20'51.32"N,1°32'02.18"W,49°10'50.52"N,4°51'18.76"W,49°11'13.56"N,1°35'55.75"W, 50.28086,  -3.22973, 51.34068,  -4.94109, 51.34759,  -1.53394, 49.18070,  -4.85521, 49.18710,  -1.59882,LC08_L2SP_203025_20181001_20200830_02_T1,LC82030252018274LGN00
953,LC08_L2SP_199024_20181005_20200830_02_T1,LC08_L1TP_199024_20181005_20200830_02_T1,LC81990242018278LGN00,2018/10/05,T1,2, 199, 024, 199, 024,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-05 10:39:32.524999,2018-10-05 10:40:04.294998,LGN,DAY,   3.97,   3.25,467,5,    6.134,    4.280,    4.395,LPGS_15.3.1c,32.32754605,163.91654829,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,51°41'35.20"N,3°34'03.68"E,52°45'41.90"N,1°49'39.97"E,52°44'40.02"N,5°20'05.21"E,50°36'24.55"N,1°52'55.70"E,50°35'27.24"N,5°13'35.65"E, 51.69311,   3.56769, 52.76164,   1.82777, 52.74445,   5.33478, 50.60682,   1.88214, 50.59090,   5.22657,LC08_L2SP_199024_20181005_20200830_02_T1,LC81990242018278LGN00
954,LC08_L2SP_199025_20181005_20200830_02_T1,LC08_L1TP_199025_20181005_20200830_02_T1,LC81990252018278LGN00,2018/10/05,T1,2, 199, 025, 199, 025,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-05 10:39:56.40333,2018-10-05 10:40:28.173329,LGN,DAY,   0.19,   0.21,575,5,    6.459,    4.639,    4.495,LPGS_15.3.1c,33.58783261,163.04814358,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,50°16'52.82"N,2°56'51.65"E,51°20'37"N,1°14'38.47"E,51°20'42.68"N,4°38'48.88"E,49°11'09.96"N,1°19'17.87"E,49°11'15.25"N,4°34'26.83"E, 50.28134,   2.94768, 51.34361,   1.24402, 51.34519,   4.64691, 49.18610,   1.32163, 49.18757,   4.57412,LC08_L2SP_199025_20181005_20200830_02_T1,LC81990252018278LGN00
955,LC08_L2SP_206018_20181006_20200830_02_T1,LC08_L1TP_206018_20181006_20200830_02_T1,LC82060182018279LGN00,2018/10/06,T1,2, 206, 018, 206, 018,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-06 11:20:25.36162,2018-10-06 11:20:57.131619,LGN,DAY,  30.65,  17.96,148,5,    8.125,    5.632,    5.856,LPGS_15.3.1c,24.28125736,169.58876832,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,60°05'36.60"N,2°39'45.18"W,61°10'52.61"N,4°55'22.58"W,61°10'11.06"N,0°23'16.26"W,58°58'15.17"N,4°47'54.13"W,58°57'37.12"N,0°33'25.06"W, 60.09350,  -2.66255, 61.18128,  -4.92294, 61.16974,  -0.38785, 58.97088,  -4.79837, 58.96031,  -0.55696,LC08_L2SP_206018_20181006_20200830_02_T1,LC82060182018279LGN00
956,LC08_L2SP_206022_20181006_20200830_02_T1,LC08_L1TP_206022_20181006_20200830_02_T1,LC82060222018279LGN00,2018/10/06,T1,2, 206, 022, 206, 022,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-06 11:22:00.90036,2018-10-06 11:22:32.670359,LGN,DAY,  16.13,  15.03,342,5,    7.563,    5.329,    5.367,LPGS_15.3.1c,29.41084550,165.83073838,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,54°30'30.02"N,5°54'13.21"W,55°33'02.45"N,7°55'36.98"W,55°38'43.19"N,4°02'32.35"W,53°20'02.83"N,7°40'02.17"W,53°25'16.93"N,3°59'13.74"W, 54.50834,  -5.90367, 55.55068,  -7.92694, 55.64533,  -4.04232, 53.33412,  -7.66727, 53.42137,  -3.98715,LC08_L2SP_206022_20181006_20200830_02_T1,LC82060222018279LGN00
957,LC08_L2SP_206024_20181006_20200830_02_T1,LC08_L1TP_206024_20181006_20200830_02_T1,LC82060242018279LGN00,2018/10/06,T1,2, 206, 024, 206, 024,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-06 11:22:48.661258,2018-10-06 11:23:20.431257,LGN,DAY,  11.40,  19.75,293,5,    8.084,    5.225,    6.169,LPGS_15.3.1c,31.95077051,164.08709715,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,51°41'36.42"N,7°14'52.30"W,52°46'02.71"N,8°56'42.58"W,52°42'53.71"N,5°28'18.23"W,50°38'01.54"N,8°56'51.65"W,50°35'06.36"N,5°38'00.60"W, 51.69345,  -7.24786, 52.76742,  -8.94516, 52.71492,  -5.47173, 50.63376,  -8.94768, 50.58510,  -5.63350,LC08_L2SP_206024_20181006_20200830_02_T1,LC82060242018279LGN00
958,LC08_L2SP_202019_20181010_20200830_02_T2,LC08_L1GT_202019_20181010_20200830_02_T2,LC82020192018283LGN00,2018/10/10,T2,2, 202, 019, 202, 019,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:56:07.737141,2018-10-10 10:56:39.50714,LGN,DAY,  -1.00,   0.01,-1,5,,,,LPGS_15.3.1c,24.08678457,169.07216653,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,58°42'15.16"N,2°37'06.71"E,59°46'47.86"N,0°25'52.86"E,59°47'34.98"N,4°46'35.44"E,57°34'21.68"N,0°35'19.68"E,57°35'04.92"N,4°40'03.18"E, 58.70421,   2.61853, 59.77996,   0.43135, 59.79305,   4.77651, 57.57269,   0.58880, 57.58470,   4.66755,LC08_L2SP_202019_20181010_20200830_02_T2,LC82020192018283LGN00
959,LC08_L2SP_202020_20181010_20200830_02_T2,LC08_L1GT_202020_20181010_20200830_02_T2,LC82020202018283LGN00,2018/10/10,T2,2, 202, 020, 202, 020,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:56:31.623944,2018-10-10 10:57:03.393943,LGN,DAY,  -1.00,   0.00,-1,5,,,,LPGS_15.3.1c,25.37693378,168.14707336,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,57°18'34.92"N,1°47'05.82"E,58°22'26.11"N,0°20'35.52"W,58°24'53.46"N,3°50'00.85"E,56°09'44.06"N,0°08'54.35"W,56°11'59.46"N,3°47'05.71"E, 57.30970,   1.78495, 58.37392,  -0.34320, 58.41485,   3.83357, 56.16224,  -0.14843, 56.19985,   3.78492,LC08_L2SP_202020_20181010_20200830_02_T2,LC82020202018283LGN00
960,LC08_L2SP_202021_20181010_20200830_02_T2,LC08_L1GT_202021_20181010_20200830_02_T2,LC82020212018283LGN00,2018/10/10,T2,2, 202, 021, 202, 021,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:56:55.502275,2018-10-10 10:57:27.272274,LGN,DAY,  -1.00,   0.00,-1,5,,,,LPGS_15.3.1c,26.66337034,167.25503138,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,55°54'40.82"N,1°00'18.61"E,56°57'59.04"N,1°03'55.26"W,57°01'56.86"N,2°57'25.78"E,54°45'11.66"N,0°50'24.97"W,54°48'50.58"N,2°57'34.34"E, 55.91134,   1.00517, 56.96640,  -1.06535, 57.03246,   2.95716, 54.75324,  -0.84027, 54.81405,   2.95954,LC08_L2SP_202021_20181010_20200830_02_T2,LC82020212018283LGN00
961,LC08_L2SP_202022_20181010_20200830_02_T1,LC08_L1TP_202022_20181010_20200830_02_T1,LC82020222018283LGN00,2018/10/10,T1,2, 202, 022, 202, 022,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:57:19.389078,2018-10-10 10:57:51.159077,LGN,DAY,   0.01,   0.00,213,5,    6.869,    4.604,    5.098,LPGS_15.3.1c,27.94672230,166.38814718,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,54°30'30.92"N,0°16'20.42"E,55°33'09.40"N,1°44'29.36"W,55°38'28.86"N,2°08'20.08"E,53°20'17.41"N,1°29'30.59"W,53°25'11.89"N,2°11'03.95"E, 54.50859,   0.27234, 55.55261,  -1.74149, 55.64135,   2.13891, 53.33817,  -1.49183, 53.41997,   2.18443,LC08_L2SP_202022_20181010_20200830_02_T1,LC82020222018283LGN00
962,LC08_L2SP_202023_20181010_20200830_02_T1,LC08_L1TP_202023_20181010_20200830_02_T1,LC82020232018283LGN00,2018/10/10,T1,2, 202, 023, 202, 023,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:57:43.271645,2018-10-10 10:58:15.041644,LGN,DAY,   0.04,   0.03,501,5,    6.854,    4.294,    5.342,LPGS_15.3.1c,29.22601201,165.54059475,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,53°06'09.29"N,0°25'06.20"W,54°11'07.80"N,2°08'36.20"W,54°06'25.02"N,1°25'50.77"E,52°03'28.69"N,2°11'04.81"W,51°59'06.79"N,1°13'04.80"E, 53.10258,  -0.41839, 54.18550,  -2.14339, 54.10695,   1.43077, 52.05797,  -2.18467, 51.98522,   1.21800,LC08_L2SP_202023_20181010_20200830_02_T1,LC82020232018283LGN00
963,LC08_L2SP_202024_20181010_20200830_02_T1,LC08_L1TP_202024_20181010_20200830_02_T1,LC82020242018283LGN00,2018/10/10,T1,2, 202, 024, 202, 024,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:58:07.158448,2018-10-10 10:58:38.928447,LGN,DAY,   0.31,   0.30,981,5,    5.423,    3.665,    3.997,LPGS_15.3.1c,30.50133213,164.70630126,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,51°41'35.41"N,1°04'18.80"W,52°46'11.60"N,2°45'46.26"W,52°42'43.92"N,0°42'20.77"E,50°38'20.22"N,2°46'25.43"W,50°35'07.69"N,0°32'09.92"E, 51.69317,  -1.07189, 52.76989,  -2.76285, 52.71220,   0.70577, 50.63895,  -2.77373, 50.58547,   0.53609,LC08_L2SP_202024_20181010_20200830_02_T1,LC82020242018283LGN00
964,LC08_L2SP_202025_20181010_20200830_02_T1,LC08_L1TP_202025_20181010_20200830_02_T1,LC82020252018283LGN00,2018/10/10,T1,2, 202, 025, 202, 025,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:58:31.045251,2018-10-10 10:59:02.81525,LGN,DAY,   1.05,   0.32,696,5,    5.724,    3.942,    4.151,LPGS_15.3.1c,31.77204989,163.88013993,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'51.35"N,1°41'31.45"W,51°21'03.10"N,3°20'51.04"W,51°18'44.82"N,0°01'08.65"E,49°12'50.44"N,3°19'56.24"W,49°10'42.20"N,0°06'46.51"W, 50.28093,  -1.69207, 51.35086,  -3.34751, 51.31245,   0.01907, 49.21401,  -3.33229, 49.17839,  -0.11292,LC08_L2SP_202025_20181010_20200830_02_T1,LC82020252018283LGN00
965,LC08_L2SP_202026_20181010_20200830_02_T1,LC08_L1TP_202026_20181010_20200830_02_T1,LC82020262018283LGN00,2018/10/10,T1,2, 202, 026, 202, 026,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-10 10:58:54.923582,2018-10-10 10:59:26.693581,LGN,DAY,  15.85,   8.64,480,5,    6.079,    4.134,    4.457,LPGS_15.3.1c,33.03740171,163.05764554,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,48°51'59.58"N,2°16'55.63"W,49°55'53.26"N,3°54'05.44"W,49°54'38.95"N,0°38'00.89"W,47°47'29.80"N,3°51'49.93"W,47°46'20.82"N,0°43'56.21"W, 48.86655,  -2.28212, 49.93146,  -3.90151, 49.91082,  -0.63358, 47.79161,  -3.86387, 47.77245,  -0.73228,LC08_L2SP_202026_20181010_20200830_02_T1,LC82020262018283LGN00
966,LC08_L2SP_205020_20181015_20200830_02_T1,LC08_L1TP_205020_20181015_20200830_02_T1,LC82050202018288LGN00,2018/10/15,T1,2, 205, 020, 205, 020,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-15 11:15:05.96511,2018-10-15 11:15:37.735109,LGN,DAY,   4.66,  11.51,782,5,    7.387,    4.700,    5.699,LPGS_15.3.1c,23.54561821,168.70480374,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,57°18'34.38"N,2°51'22.25"W,58°23'13.09"N,4°55'21.04"W,58°22'56.21"N,0°47'13.02"W,56°11'40.09"N,4°48'41.15"W,56°11'24.54"N,0°54'53.24"W, 57.30955,  -2.85618, 58.38697,  -4.92251, 58.38228,  -0.78695, 56.19447,  -4.81143, 56.19015,  -0.91479,LC08_L2SP_205020_20181015_20200830_02_T1,LC82050202018288LGN00
967,LC08_L2SP_205021_20181015_20200830_02_T1,LC08_L1TP_205021_20181015_20200830_02_T1,LC82050212018288LGN00,2018/10/15,T1,2, 205, 021, 205, 021,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-15 11:15:29.843441,2018-10-15 11:16:01.61344,LGN,DAY,  11.62,  11.76,1035,5,    7.072,    4.289,    5.622,LPGS_15.3.1c,24.83869689,167.84452478,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,55°54'40.10"N,3°38'08.99"W,56°58'39.29"N,5°38'38.94"W,56°59'54.24"N,1°39'53.93"W,54°46'58.55"N,5°29'56.29"W,54°48'07.60"N,1°44'18.10"W, 55.91114,  -3.63583, 56.97758,  -5.64415, 56.99840,  -1.66498, 54.78293,  -5.49897, 54.80211,  -1.73836,LC08_L2SP_205021_20181015_20200830_02_T1,LC82050212018288LGN00
968,LC08_L2SP_205022_20181015_20200830_02_T1,LC08_L1TP_205022_20181015_20200830_02_T1,LC82050222018288LGN00,2018/10/15,T1,2, 205, 022, 205, 022,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-15 11:15:53.726008,2018-10-15 11:16:25.496006,LGN,DAY,  21.20,   9.98,538,5,    7.261,    4.284,    5.863,LPGS_15.3.1c,26.12883991,167.01104355,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,54°30'31.21"N,4°22'06.20"W,55°34'00.52"N,6°19'44.62"W,55°36'39.38"N,2°29'02.65"W,53°22'12.94"N,6°09'18.72"W,53°24'39.49"N,2°30'39.85"W, 54.50867,  -4.36839, 55.56681,  -6.32906, 55.61094,  -2.48407, 53.37026,  -6.15520, 53.41097,  -2.51107,LC08_L2SP_205022_20181015_20200830_02_T1,LC82050222018288LGN00
969,LC08_L2SP_205023_20181015_20200830_02_T1,LC08_L1TP_205023_20181015_20200830_02_T1,LC82050232018288LGN00,2018/10/15,T1,2, 205, 023, 205, 023,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-15 11:16:17.612811,2018-10-15 11:16:49.38281,LGN,DAY,  11.42,   7.51,416,5,    7.197,    4.635,    5.506,LPGS_15.3.1c,27.41588725,166.19814089,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,53°06'08.68"N,5°03'32.90"W,54°09'10.08"N,6°58'05.77"W,54°13'04.58"N,3°15'22"W,51°57'16.31"N,6°46'15.67"W,52°00'52.88"N,3°14'36.02"W, 53.10241,  -5.05914, 54.15280,  -6.96827, 54.21794,  -3.25611, 51.95453,  -6.77102, 52.01469,  -3.24334,LC08_L2SP_205023_20181015_20200830_02_T1,LC82050232018288LGN00
970,LC08_L2SP_201025_20181019_20200830_02_T1,LC08_L1TP_201025_20181019_20200830_02_T1,LC82010252018292LGN00,2018/10/19,T1,2, 201, 025, 201, 025,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-19 10:52:23.451488,2018-10-19 10:52:55.221487,LGN,DAY,  19.34,  18.26,386,5,    7.434,    4.717,    5.746,LPGS_15.3.1c,28.57898134,165.12440587,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,30,WGS84,WGS84,50°16'51.96"N,0°09'13.93"W,51°21'29.63"N,1°45'12.06"W,51°16'32.81"N,1°33'56.66"E,49°14'55.72"N,1°48'26.32"W,49°10'20.17"N,1°22'07.82"E, 50.28110,  -0.15387, 51.35823,  -1.75335, 51.27578,   1.56574, 49.24881,  -1.80731, 49.17227,   1.36884,LC08_L2SP_201025_20181019_20200830_02_T1,LC82010252018292LGN00
971,LC08_L2SP_199025_20181021_20200830_02_T1,LC08_L1TP_199025_20181021_20200830_02_T1,LC81990252018294LGN00,2018/10/21,T1,2, 199, 025, 199, 025,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-21 10:40:02.452231,2018-10-21 10:40:34.222229,LGN,DAY,  11.91,  11.45,454,5,    7.355,    4.925,    5.463,LPGS_15.3.1c,27.89021785,165.35540974,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,50°16'51.74"N,2°56'08.38"E,51°20'26.59"N,1°13'52.36"E,51°20'33.61"N,4°38'02.04"E,49°11'09.31"N,1°18'33.41"E,49°11'15.86"N,4°33'42.37"E, 50.28104,   2.93566, 51.34072,   1.23121, 51.34267,   4.63390, 49.18592,   1.30928, 49.18774,   4.56177,LC08_L2SP_199025_20181021_20200830_02_T1,LC81990252018294LGN00
972,LC08_L2SP_206023_20181022_20200830_02_T1,LC08_L1TP_206023_20181022_20200830_02_T1,LC82060232018295LGN00,2018/10/22,T1,2, 206, 023, 206, 023,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-22 11:22:30.649695,2018-10-22 11:23:02.419693,LGN,DAY,   4.61,   3.07,618,5,    8.320,    4.979,    6.665,LPGS_15.3.1c,24.95588924,166.96219436,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,53°06'08.42"N,6°36'22.79"W,54°11'02.58"N,8°20'27.92"W,54°06'39.71"N,4°45'25.56"W,52°03'13.43"N,8°22'22.40"W,51°59'10.03"N,4°57'40.10"W, 53.10234,  -6.60633, 54.18405,  -8.34109, 54.11103,  -4.75710, 52.05373,  -8.37289, 51.98612,  -4.96114,LC08_L2SP_206023_20181022_20200830_02_T1,LC82060232018295LGN00
973,LC08_L2SP_206024_20181022_20200830_02_T1,LC08_L1TP_206024_20181022_20200830_02_T1,LC82060242018295LGN00,2018/10/22,T1,2, 206, 024, 206, 024,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-22 11:22:54.528026,2018-10-22 11:23:26.298024,LGN,DAY,   0.30,   1.28,436,5,    8.529,    5.156,    6.795,LPGS_15.3.1c,26.24791220,166.20934438,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,51°41'36.35"N,7°15'34.38"W,52°46'02.75"N,8°57'14.58"W,52°42'55.15"N,5°29'06.11"W,50°38'01.54"N,8°57'22.21"W,50°35'07.69"N,5°38'46.28"W, 51.69343,  -7.25955, 52.76743,  -8.95405, 52.71532,  -5.48503, 50.63376,  -8.95617, 50.58547,  -5.64619,LC08_L2SP_206024_20181022_20200830_02_T1,LC82060242018295LGN00
974,LC08_L2SP_202019_20181026_20200830_02_T2,LC08_L1GT_202019_20181026_20200830_02_T2,LC82020192018299LGN00,2018/10/26,T2,2, 202, 019, 202, 019,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-26 10:56:12.913746,2018-10-26 10:56:44.683744,LGN,DAY,  -1.00,  11.38,-1,5,,,,LPGS_15.3.1c,18.39419193,170.46612493,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,58°42'13.79"N,2°36'25.81"E,59°46'47.10"N,0°25'14.41"E,59°47'35.48"N,4°45'56.99"E,57°34'11.32"N,0°34'44.22"E,57°34'55.70"N,4°39'26.60"E, 58.70383,   2.60717, 59.77975,   0.42067, 59.79319,   4.76583, 57.56981,   0.57895, 57.58214,   4.65739,LC08_L2SP_202019_20181026_20200830_02_T2,LC82020192018299LGN00
975,LC08_L2SP_202020_20181026_20200830_02_T2,LC08_L1GT_202020_20181026_20200830_02_T2,LC82020202018299LGN00,2018/10/26,T2,2, 202, 020, 202, 020,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-26 10:56:36.792077,2018-10-26 10:57:08.562075,LGN,DAY,  -1.00,  17.27,-1,5,,,,LPGS_15.3.1c,19.69997047,169.62844883,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,57°18'35.32"N,1°46'26.40"E,58°22'25.14"N,0°21'12.38"W,58°24'53.71"N,3°49'23.92"E,56°09'43.16"N,0°09'29.09"W,56°11'59.68"N,3°46'30.90"E, 57.30981,   1.77400, 58.37365,  -0.35344, 58.41492,   3.82331, 56.16199,  -0.15808, 56.19991,   3.77525,LC08_L2SP_202020_20181026_20200830_02_T2,LC82020202018299LGN00
976,LC08_L2SP_202021_20181026_20200830_02_T2,LC08_L1GT_202021_20181026_20200830_02_T2,LC82020212018299LGN00,2018/10/26,T2,2, 202, 021, 202, 021,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-26 10:57:00.674644,2018-10-26 10:57:32.444642,LGN,DAY,  -1.00,  19.51,-1,5,,,,LPGS_15.3.1c,21.00390258,168.82706879,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,31,WGS84,WGS84,55°54'40.25"N,0°59'39.44"E,56°57'57.89"N,1°04'30.72"W,57°01'56.86"N,2°56'50.21"E,54°45'10.62"N,0°50'58.45"W,54°48'50.58"N,2°57'00.76"E, 55.91118,   0.99429, 56.96608,  -1.07520, 57.03246,   2.94728, 54.75295,  -0.84957, 54.81405,   2.95021,LC08_L2SP_202021_20181026_20200830_02_T2,LC82020212018299LGN00
977,LC08_L2SP_209018_20181027_20200830_02_T2,LC08_L1GT_209018_20181027_20200830_02_T2,LC82090182018300LGN00,2018/10/27,T2,2, 209, 018, 209, 018,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-27 11:39:04.968474,2018-10-27 11:39:36.738473,LGN,DAY,  -1.00,   3.12,-1,5,,,,LPGS_15.3.1c,16.73982372,171.40180955,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,60°05'36.17"N,7°18'54.25"W,61°11'28.64"N,9°30'21.42"W,61°08'01.21"N,5°01'09.62"W,59°00'14.62"N,9°28'24.56"W,58°57'04.61"N,5°16'26.33"W, 60.09338,  -7.31507, 61.19129,  -9.50595, 61.13367,  -5.01934, 59.00406,  -9.47349, 58.95128,  -5.27398,LC08_L2SP_209018_20181027_20200830_02_T2,LC82090182018300LGN00
978,LC08_L2SP_209019_20181027_20200830_02_T1,LC08_L1TP_209019_20181027_20200830_02_T1,LC82090192018300LGN00,2018/10/27,T1,2, 209, 019, 209, 019,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-27 11:39:28.851041,2018-10-27 11:40:00.62104,LGN,DAY,   1.97,   7.35,73,5,    5.915,    4.774,    3.493,LPGS_15.3.1c,18.04832361,170.52421562,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,58°42'14.40"N,8°12'33.30"W,59°47'24.50"N,10°20'23.24"W,59°45'48.60"N,6°02'01.07"W,57°36'00.79"N,10°15'29.77"W,57°34'32.74"N,6°12'50"W, 58.70400,  -8.20925, 59.79014, -10.33979, 59.76350,  -6.03363, 57.60022, -10.25827, 57.57576,  -6.21389,LC08_L2SP_209019_20181027_20200830_02_T1,LC82090192018300LGN00
979,LC08_L2SP_209020_20181027_20200830_02_T1,LC08_L1TP_209020_20181027_20200830_02_T1,LC82090202018300LGN00,2018/10/27,T1,2, 209, 020, 209, 020,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-27 11:39:52.729372,2018-10-27 11:40:24.499371,LGN,DAY,   0.42,   9.98,50,5,    5.836,    4.392,    3.843,LPGS_15.3.1c,19.35481993,169.69132049,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,57°18'35.75"N,9°02'32.32"W,58°23'11.72"N,11°07'03.04"W,58°23'17.20"N,6°58'35.36"W,56°11'29.90"N,10°59'42.11"W,56°11'34.94"N,7°05'36.74"W, 57.30993,  -9.04231, 58.38659, -11.11751, 58.38811,  -6.97649, 56.19164, -10.99503, 56.19304,  -7.09354,LC08_L2SP_209020_20181027_20200830_02_T1,LC82090202018300LGN00
980,LC08_L2SP_209021_20181027_20200830_02_T2,LC08_L1GT_209021_20181027_20200830_02_T2,LC82090212018300LGN00,2018/10/27,T2,2, 209, 021, 209, 021,NADIR,   0.000,2020/08/30,2020/08/30,2018-10-27 11:40:16.616175,2018-10-27 11:40:48.386174,LGN,DAY,  -1.00,  10.10,-1,5,,,,LPGS_15.3.1c,20.65968298,168.89464773,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,29,WGS84,WGS84,55°54'39.85"N,9°49'19.74"W,56°58'33.38"N,11°50'29.54"W,57°00'10.62"N,7°51'09.04"W,54°46'44.18"N,11°41'07.26"W,54°48'13.75"N,7°54'56.38"W, 55.91107,  -9.82215, 56.97594, -11.84154, 57.00295,  -7.85251, 54.77894, -11.68535, 54.80382,  -7.91566,LC08_L2SP_209021_20181027_20200830_02_T2,LC82090212018300LGN00
